Station,f_1,f_2,ΔV_1,ΔV_2
Station 1,-6884.422110552763,-5630.413373399661,40310155.07753877,44160964.92468345
Station 2,-7386.9346733668335,-3287.0382061059054,47393696.84842421,55935586.60270606
Station 3,-6299.840913108254,-7352.887769064255,43516835.95674776,39340310.67569808
Station 4,-7435.923335269312,-5254.600570337356,40764314.12304451,48276254.175106555
Station 5,-4470.255370181885,-4583.934546092244,47891289.281441614,47091978.14411907
Station 6,-6078.1724840967045,-6505.297376506532,42706775.46094818,43670578.20232866
Station 7,-8486.669604683604,-8368.886679806954,38316370.61343174,38362247.59450134
Station 8,-3266.3316582914567,-7688.442211055277,58769384.69234617,45142571.285642825
Station 9,-4417.033527527539,-4454.076396984544,53459947.435374975,53013889.563054144
Station 10,-2951.2439346298415,-2667.356884927148,24679004.132530574,27249978.165671133
